INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT
620392,prosper,pod20,1400,,,30,,188,,0
1423738,uslegalsupportwest,pod13,700,100,30,50,,167,133,0
17103533,nc-sen-kevin-corbin,pod20,2500,,,,,204,,0
19889100,inrepdistrict70-r,pod19,2500,,,,,234,,0
2417668,teclab,pod27,2500,,,,,62,,0
26682128,maxtrackhelp1783621694,pod13,2500,,,,,11,,0
17103562,nc-sen-ralph-hise,pod23,2500,,,30,,204,,0
13174258,okreptammywest,pod27,2500,,,,,62,,0
11567298,flrepmcclure,pod27,2500,,,,,113,,0
20195303,pahousedemsdistrict25,pod20,2500,,,,,64,,0
10796221,reppence,pod19,2500,,,,,402,,0
26113551,medlinelaboratorypricing,pod19,2500,,,,,15,,0
1277716,teameven,pod27,2500,,,,30,5,,0
2279656,evidation,pod19,2500,,,,,1,,0
21563720,ivcevidensiaclientcareservices,pod31,2500,300,30,,,153,42,0
11567250,flrepduggan,pod27,2500,,,,,190,,0
22242066,amtrav,pod18,2500,300,30,,,7,3,0
13783133,mnsenmurphy,pod27,2500,,,,,206,,0
18078357,nykaatraining,pod29,2500,,,,,2,,0
9672749,d3v-flyairliberty,pod18,2500,300,30,,,5,2,0
20740781,whistleexpresscarwash,pod27,2500,,,,,4,,0
19229553,insendistrict30-d,pod19,2500,,,30,,380,,0
15843756,mdsenmarydulanyjames,pod27,2500,,,,,69,,0
2378016,slack-privacy,pod28,2500,300,30,,,2,1,0
17103470,nc-rep-tim-moore,pod23,2500,,,30,,163,,0
26224632,automicgroup1772400905,pod15,2500,,,,,0,,0
2372913,transformsupport1531228581,pod18,2500,,,,,7,,0
966382,tescosuppliersupport,pod18,2500,,,,,106,,0
16256309,mddeldanajones,pod27,2500,,,,,72,,0
512712,zillow,pod19,700,2000,30,30,10,344,1,0
19889058,nmreprodmontoya,pod20,2500,,,,,43,,0
11567253,flrepeskamani,pod27,2500,,,,,179,,0
17103308,nc-rep-brian-biggs,pod13,2500,,,,,204,,0
19371625,sandiegoca-demo,pod19,2500,,,,,54,,0
13166074,okrepericroberts,pod27,2500,,,,,94,,0
26343827,actioncreditnr,pod20,2500,,,,,0,,0
9353639,smileshelp1562260535,pod23,2500,100,30,,,14,12,0
11387592,amazonhealth,pod19,2500,,,,,1,,0
13631905,snowcommerce,pod20,2500,,,,30,76,,0
15765707,mirepskaggs,pod13,2500,,,30,,162,,0
15417465,thdoccresolutions1667422034,pod13,2500,,,,,1,,0
2383548,tranesupport,pod13,2500,300,30,,,110,99,0
11840443,mands,pod17,2500,,,,,239,,0
14988469,montgomerycountymd-council-jawando,pod13,2500,,,30,,404,,0
17103436,nc-rep-nasif-majeed,pod20,2500,,,,,151,,0
10592966,mirepjohnson,pod19,2500,,,60,,294,,0
1923039,lunchr,pod18,2500,300,30,,30,405,2,37
14949990,getyourguidesupport,pod29,3500,300,30,30,30,844,74,0
18677408,nmrepjaviermartinez,pod20,2500,,,30,,58,,0
11469511,gsretail,pod25,2500,300,30,30,,228,64,0
15765674,mirepsteele,pod20,2500,,,,,270,,0
16256187,mdsenkatiefryhester,pod23,2500,,,,,76,,0
11437805,acn-wbauat,pod20,2500,300,30,,,4,1,0
15368522,flrepberfield,pod13,2500,,,,,186,,0
15120671,samsaralegal,pod13,2500,,,,30,13,,0
13781413,mnsensenjem,pod27,2500,,,,,81,,0
23869989,cashortrade1736268406,pod13,2500,,,,,1,,0
13173567,okreplepak,pod27,2500,,,30,30,92,,4
20156552,con-demeter,pod15,2500,,,,,3,,0
16229834,con-bcrcx-moises,pod13,2500,,,,,0,,0
18219033,pdi-ptapergu1513,pod15,2500,,,,,5,,0
779333,samsara,pod13,2500,300,30,30,30,397,91,0
43400,riotgames,pod19,2500,300,30,30,30,2284,124,40
20195371,pahousedemsdistrict151,pod19,2500,,,,,132,,0
26654791,ilemployeehub1782757548,pod20,2500,,,,,1,,0
24972381,hdinvestigations1745927174,pod13,2500,,,,,4,,0
15434752,nequi1667569410,pod13,2500,,,,,2,,0
17103279,nc-rep-reece-pyrtle,pod20,2500,,,30,30,151,,0
10485523,reptorres,pod20,2500,,,30,,968,,0
16448768,abbott6036,pod17,2500,,,,,0,,0
19889036,inrepdistrict44-r,pod19,2500,,,,,226,,0
10712196,ventomit,pod27,2500,,,,,1,,0
20393481,confelippetecnasistemas1711371354,pod20,2500,,,,,2,,0
10542280,lulobank1610049328,pod20,2500,,,,30,41,,0
26344466,etsy1775052593,pod23,2500,,,,,2,,0
2290647,beemit,pod25,2500,,,,,0,,0
9388984,pdi-unifydemocustomer,pod18,2500,,,,,3,,0
11567266,flrepgiallombardo,pod13,2500,,,,,208,,0
10679883,ab-inbevza,pod28,2500,300,30,,30,60,1,0
10618750,mirepalexander,pod23,2500,,,30,,266,,0
25566618,sealysingapore1753839806,pod15,2500,,,,,1,,0
1504459,dailypay-support,pod19,2500,300,30,30,30,1057,6,0
26488554,con-naokit,pod30,2500,,,,,2,,0
22328999,medlineprivacyhelp,pod27,2500,,,,,15,,0
2438639,lyft-lbs,pod20,2500,300,30,,,6,6,0
13084868,pdibcr1648073466,pod13,2500,,,,,2,,0
24867839,leroymerlinsa1744879341,pod18,2500,,,,,4,,0
624144,bitpanda,pod28,2500,300,30,30,30,108,9,0
15215927,netflix-consumerclaims,pod27,2500,,,,,2,,0
598603,kingcare,pod29,2500,100,30,30,10,781,47,2
20552572,umgroyaltysupport1712765157,pod13,2500,,,,,17,,2
11852402,campbellscare,pod23,3000,300,30,,,64,36,0
15965785,deunaapp,pod20,2500,300,30,30,,23,10,0
15843763,mddelkrisfair,pod23,2500,,,,,70,,0
15750112,repgeorgedevolder-santos,pod20,2500,,,,,404,,0
16824134,repbarryloudermilk,pod27,2500,300,30,30,,406,4,0
